id,Categoria,Nome do táxon,Ordem,Família,Subfamília,Gênero,Espécie,Nome em Português,English Name
330,Espécie,Coccycua minuta,Cuculiformes,Cuculidae,Cuculinae,Coccycua,minuta,chincoã-pequeno,Little Cuckoo
333,Espécie,Micrococcyx cinereus,Cuculiformes,Cuculidae,Cuculinae,Micrococcyx,cinereus,papa-lagarta-cinzento,Ash-colored Cuckoo
335,Espécie,Piaya cayana,Cuculiformes,Cuculidae,Cuculinae,Piaya,cayana,alma-de-gato,Squirrel Cuckoo
342,Espécie,Piaya melanogaster,Cuculiformes,Cuculidae,Cuculinae,Piaya,melanogaster,chincoã-de-bico-vermelho,Black-bellied Cuckoo
344,Espécie,Coccyzus melacoryphus,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,melacoryphus,papa-lagarta-acanelado,Dark-billed Cuckoo
345,Espécie,Coccyzus americanus,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,americanus,papa-lagarta-de-asa-vermelha,Yellow-billed Cuckoo
347,Espécie,Coccyzus euleri,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,euleri,papa-lagarta-de-euler,Pearly-breasted Cuckoo
348,Espécie,Coccyzus minor,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,minor,papa-lagarta-do-mangue,Mangrove Cuckoo
349,Espécie,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Cuculinae,Coccyzus,erythropthalmus,papa-lagarta-de-bico-preto,Black-billed Cuckoo
351,Espécie,Cuculus canorus,Cuculiformes,Cuculidae,Cuculinae,Cuculus,canorus,cuco-canoro,Common Cuckoo
356,Espécie,Steatornis caripensis,Steatornithiformes,Steatornithidae,,Steatornis,caripensis,guácharo,Oilbird
360,Espécie,Phyllaemulor bracteatus,Nyctibiiformes,Nyctibiidae,,Phyllaemulor,bracteatus,urutau-ferrugem,Rufous Potoo
362,Espécie,Nyctibius grandis,Nyctibiiformes,Nyctibiidae,,Nyctibius,grandis,urutau-grande,Great Potoo
364,Espécie,Nyctibius aethereus,Nyctibiiformes,Nyctibiidae,,Nyctibius,aethereus,urutau-pardo,Long-tailed Potoo
367,Espécie,Nyctibius griseus,Nyctibiiformes,Nyctibiidae,,Nyctibius,griseus,urutau,Common Potoo
369,Espécie,Nyctibius leucopterus,Nyctibiiformes,Nyctibiidae,,Nyctibius,leucopterus,urutau-de-asa-branca,White-winged Potoo
373,Espécie,Nyctiphrynus ocellatus,Caprimulgiformes,Caprimulgidae,,Nyctiphrynus,ocellatus,bacurau-ocelado,Ocellated Poorwill
377,Espécie,Antrostomus rufus,Caprimulgiformes,Caprimulgidae,,Antrostomus,rufus,joão-corta-pau,Rufous Nightjar
380,Espécie,Antrostomus sericocaudatus,Caprimulgiformes,Caprimulgidae,,Antrostomus,sericocaudatus,bacurau-rabo-de-seda,Silky-tailed Nightjar
384,Espécie,Lurocalis semitorquatus,Caprimulgiformes,Caprimulgidae,,Lurocalis,semitorquatus,tuju,Short-tailed Nighthawk
388,Espécie,Nyctiprogne leucopyga,Caprimulgiformes,Caprimulgidae,,Nyctiprogne,leucopyga,bacurau-de-cauda-barrada,Band-tailed Nighthawk
393,Espécie,Nyctiprogne vielliardi,Caprimulgiformes,Caprimulgidae,,Nyctiprogne,vielliardi,bacurau-do-são-francisco,Bahian Nighthawk
395,Espécie,Nyctidromus nigrescens,Caprimulgiformes,Caprimulgidae,,Nyctidromus,nigrescens,bacurau-de-lajeado,Blackish Nightjar
396,Espécie,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae,,Nyctidromus,albicollis,bacurau,Common Pauraque
399,Espécie,Nyctidromus hirundinaceus,Caprimulgiformes,Caprimulgidae,,Nyctidromus,hirundinaceus,bacurauzinho-da-caatinga,Pygmy Nightjar
404,Espécie,Hydropsalis heterura,Caprimulgiformes,Caprimulgidae,,Hydropsalis,heterura,bacurau-chintã-do-norte,Todd's Nightjar
405,Espécie,Hydropsalis parvula,Caprimulgiformes,Caprimulgidae,,Hydropsalis,parvula,bacurau-chintã,Little Nightjar
406,Espécie,Hydropsalis whitelyi,Caprimulgiformes,Caprimulgidae,,Hydropsalis,whitelyi,bacurau-dos-tepuis,Roraiman Nightjar
407,Espécie,Hydropsalis anomala,Caprimulgiformes,Caprimulgidae,,Hydropsalis,anomala,curiango-do-banhado,Sickle-winged Nightjar
408,Espécie,Hydropsalis candicans,Caprimulgiformes,Caprimulgidae,,Hydropsalis,candicans,bacurau-de-rabo-branco,White-winged Nightjar
409,Espécie,Hydropsalis roraimae,Caprimulgiformes,Caprimulgidae,,Hydropsalis,roraimae,bacurau-de-roraima,Tepui Nightjar
410,Espécie,Hydropsalis longirostris,Caprimulgiformes,Caprimulgidae,,Hydropsalis,longirostris,bacurau-da-telha,Band-winged Nightjar
413,Espécie,Hydropsalis maculicaudus,Caprimulgiformes,Caprimulgidae,,Hydropsalis,maculicaudus,bacurau-de-rabo-maculado,Spot-tailed Nightjar
414,Espécie,Hydropsalis cayennensis,Caprimulgiformes,Caprimulgidae,,Hydropsalis,cayennensis,bacurau-de-cauda-branca,White-tailed Nightjar
416,Espécie,Hydropsalis climacocerca,Caprimulgiformes,Caprimulgidae,,Hydropsalis,climacocerca,acurana,Ladder-tailed Nightjar
422,Espécie,Hydropsalis torquata,Caprimulgiformes,Caprimulgidae,,Hydropsalis,torquata,bacurau-tesoura,Scissor-tailed Nightjar
425,Espécie,Hydropsalis forcipata,Caprimulgiformes,Caprimulgidae,,Hydropsalis,forcipata,bacurau-tesourão,Long-trained Nightjar
427,Espécie,Nannochordeiles pusillus,Caprimulgiformes,Caprimulgidae,,Nannochordeiles,pusillus,bacurauzinho,Least Nighthawk
435,Espécie,Podager nacunda,Caprimulgiformes,Caprimulgidae,,Podager,nacunda,corucão,Nacunda Nighthawk
439,Espécie,Chordeiles minor,Caprimulgiformes,Caprimulgidae,,Chordeiles,minor,bacurau-norte-americano,Common Nighthawk
442,Espécie,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae,,Chordeiles,gundlachii,bacurau-das-antilhas,Antillean Nighthawk
444,Espécie,Chordeiles rupestris,Caprimulgiformes,Caprimulgidae,,Chordeiles,rupestris,bacurau-da-praia,Sand-colored Nighthawk
446,Espécie,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,,Chordeiles,acutipennis,bacurau-de-asa-fina,Lesser Nighthawk
451,Espécie,Cypseloides cryptus,Apodiformes,Apodidae,,Cypseloides,cryptus,taperuçu-de-mento-branco,White-chinned Swift
452,Espécie,Cypseloides niger,Apodiformes,Apodidae,,Cypseloides,niger,taperuçu-escuro,Black Swift
454,Espécie,Cypseloides fumigatus,Apodiformes,Apodidae,,Cypseloides,fumigatus,taperuçu-preto,Sooty Swift
455,Espécie,Cypseloides senex,Apodiformes,Apodidae,,Cypseloides,senex,taperuçu-velho,Great Dusky Swift
457,Espécie,Streptoprocne phelpsi,Apodiformes,Apodidae,,Streptoprocne,phelpsi,taperuçu-dos-tepuis,Tepui Swift
458,Espécie,Streptoprocne zonaris,Apodiformes,Apodidae,,Streptoprocne,zonaris,taperuçu-de-coleira-branca,White-collared Swift
461,Espécie,Streptoprocne biscutata,Apodiformes,Apodidae,,Streptoprocne,biscutata,taperuçu-de-coleira-falha,Biscutate Swift
465,Espécie,Chaetura cinereiventris,Apodiformes,Apodidae,,Chaetura,cinereiventris,andorinhão-de-sobre-cinzento,Gray-rumped Swift
468,Espécie,Chaetura spinicaudus,Apodiformes,Apodidae,,Chaetura,spinicaudus,andorinhão-de-sobre-branco,Band-rumped Swift
471,Espécie,Chaetura egregia,Apodiformes,Apodidae,,Chaetura,egregia,taperá-de-garganta-branca,Pale-rumped Swift
472,Espécie,Chaetura pelagica,Apodiformes,Apodidae,,Chaetura,pelagica,andorinhão-peregrino,Chimney Swift
473,Espécie,Chaetura chapmani,Apodiformes,Apodidae,,Chaetura,chapmani,andorinhão-de-chapman,Chapman's Swift
476,Espécie,Chaetura meridionalis,Apodiformes,Apodidae,,Chaetura,meridionalis,andorinhão-do-temporal,Sick's Swift
477,Espécie,Chaetura brachyura,Apodiformes,Apodidae,,Chaetura,brachyura,andorinhão-de-rabo-curto,Short-tailed Swift
481,Espécie,Aeronautes montivagus,Apodiformes,Apodidae,,Aeronautes,montivagus,andorinhão-serrano,White-tipped Swift
484,Espécie,Tachornis squamata,Apodiformes,Apodidae,,Tachornis,squamata,andorinhão-do-buriti,Fork-tailed Palm-Swift
488,Espécie,Panyptila cayennensis,Apodiformes,Apodidae,,Panyptila,cayennensis,andorinhão-estofador,Lesser Swallow-tailed Swift
493,Espécie,Topaza pella,Apodiformes,Trochilidae,Florisuginae,Topaza,pella,beija-flor-brilho-de-fogo,Crimson Topaz
497,Espécie,Topaza pyra,Apodiformes,Trochilidae,Florisuginae,Topaza,pyra,topázio-de-fogo,Fiery Topaz
500,Espécie,Florisuga mellivora,Apodiformes,Trochilidae,Florisuginae,Florisuga,mellivora,beija-flor-azul-de-rabo-branco,White-necked Jacobin
502,Espécie,Florisuga fusca,Apodiformes,Trochilidae,Florisuginae,Florisuga,fusca,beija-flor-preto,Black Jacobin
