,taxonomia,ordem,familia,subfamilia,genero,especie,nome_pt,nome_eng,url_wikiaves
905,Formicivora acutirostris,Passeriformes,Thamnophilidae,Thamnophilinae,Formicivora,acutirostris,bicudinho-do-brejo,Marsh Antwren,https://www.wikiaves.com.br/wiki/bicudinho-do-brejo
906,Isleria hauxwelli,Passeriformes,Thamnophilidae,Thamnophilinae,Isleria,hauxwelli,choquinha-de-garganta-clara,Plain-throated Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-garganta-clara
907,Isleria guttata,Passeriformes,Thamnophilidae,Thamnophilinae,Isleria,guttata,choquinha-de-barriga-ruiva,Rufous-bellied Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-barriga-ruiva
908,Thamnomanes ardesiacus,Passeriformes,Thamnophilidae,Thamnophilinae,Thamnomanes,ardesiacus,uirapuru-de-garganta-preta,Dusky-throated Antshrike,https://www.wikiaves.com.br/wiki/uirapuru-de-garganta-preta
909,Thamnomanes saturninus,Passeriformes,Thamnophilidae,Thamnophilinae,Thamnomanes,saturninus,uirapuru-selado,Saturnine Antshrike,https://www.wikiaves.com.br/wiki/uirapuru-selado
910,Thamnomanes caesius,Passeriformes,Thamnophilidae,Thamnophilinae,Thamnomanes,caesius,ipecuá,Cinereous Antshrike,https://www.wikiaves.com.br/wiki/ipecua
911,Thamnomanes schistogynus,Passeriformes,Thamnophilidae,Thamnophilinae,Thamnomanes,schistogynus,uirapuru-azul,Bluish-slate Antshrike,https://www.wikiaves.com.br/wiki/uirapuru-azul
912,Dichrozona cincta,Passeriformes,Thamnophilidae,Thamnophilinae,Dichrozona,cincta,tovaquinha,Banded Antbird,https://www.wikiaves.com.br/wiki/tovaquinha
913,Rhopias gularis,Passeriformes,Thamnophilidae,Thamnophilinae,Rhopias,gularis,choquinha-de-garganta-pintada,Star-throated Antwren,https://www.wikiaves.com.br/wiki/choquinha-de-garganta-pintada
914,Megastictus margaritatus,Passeriformes,Thamnophilidae,Thamnophilinae,Megastictus,margaritatus,choca-pintada,Pearly Antshrike,https://www.wikiaves.com.br/wiki/choca-pintada
915,Sakesphoroides cristatus,Passeriformes,Thamnophilidae,Thamnophilinae,Sakesphoroides,cristatus,choca-do-nordeste,Silvery-cheeked Antshrike,https://www.wikiaves.com.br/wiki/choca-do-nordeste
916,Dysithamnus stictothorax,Passeriformes,Thamnophilidae,Thamnophilinae,Dysithamnus,stictothorax,choquinha-de-peito-pintado,Spot-breasted Antvireo,https://www.wikiaves.com.br/wiki/choquinha-de-peito-pintado
917,Dysithamnus mentalis,Passeriformes,Thamnophilidae,Thamnophilinae,Dysithamnus,mentalis,choquinha-lisa,Plain Antvireo,https://www.wikiaves.com.br/wiki/choquinha-lisa
918,Dysithamnus xanthopterus,Passeriformes,Thamnophilidae,Thamnophilinae,Dysithamnus,xanthopterus,choquinha-de-asa-ferrugem,Rufous-backed Antvireo,https://www.wikiaves.com.br/wiki/choquinha-de-asa-ferrugem
919,Dysithamnus plumbeus,Passeriformes,Thamnophilidae,Thamnophilinae,Dysithamnus,plumbeus,choquinha-chumbo,Plumbeous Antvireo,https://www.wikiaves.com.br/wiki/choquinha-chumbo
920,Herpsilochmus pectoralis,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,pectoralis,chorozinho-de-papo-preto,Pectoral Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-papo-preto
921,Herpsilochmus roraimae,Passeriformes,Thamnophilidae,Thamnophilinae,Herpsilochmus,roraimae,chorozinho-de-roraima,Roraiman Antwren,https://www.wikiaves.com.br/wiki/chorozinho-de-roraima
